id,hic_lab_or,hic_tp_pct,hic_tp_cat,hic_tp_num,hic_p_tn,hic_np_tn,hic_pp_tn,area_ha,id_pk,HIC_1,HIC_2,hic_num_t,HIC_3,HIC_4,HIC_5,HIC_6,area_m2,NOMBRE_HUM,COD_IHA
148461,"14200_100,1150_100","1420_100,1150_100","1420,1150*",2,1,1,0,1818.685000030000083,839784,14200_100,1150_100,2,,,,,1820.104,Salinas de Cerrillos,IHA611004
35581,"1210_55,2230_30,2210_12","1210_55,2230_30,2210_12","1210,2230,2210",3,0,3,2,238.505000002512247,16571,1210_55,2230_30,3,2210_12,,,,238.688,Ribera de la Algaida,IHA611010
37291,"14201_50,14101_30","1410_30,1420_50","1410,1420",2,0,2,0,809.459999995053181,184007,14201_50,14101_30,2,,,,,810.083,Saladar del Margen,IHA614009
137201,1210_60,1210_60,"1210",1,0,1,0,205.250000002872468,219894,1210_60,,1,,,,,205.414,Albufera Nueva,IHA611008
87573,"62201_72,40901_50","6220_72,4090_50","6220*,4090",2,1,1,0,218.394999999481342,643183,62201_72,40901_50,2,,,,,218.568,Cola del Embalse del Negratín,IHA614010
454449,"62201_100,62200_100,52200_100,53305_36,53304_36,53302_36","6220_100,5330_100,5220_100","6220*,5330,5220*",3,2,1,0,1345.585000000000036,824013,62201_100,62200_100,6,52200_100,53305_36,53304_36,53302_36,1346.295,Salar de los Canos,IHA611018
170227,"2250_100,22600_10,2230_5","2230_5,2260_10,2250_100","2230,2260,2250*",3,1,2,2,125.675000001137946,835086,2250_100,22600_10,3,2230_5,,,,125.774,Charcones de Punta Entinas,IHA611001
170124,"2250_100,2210_12,14200_1","2210_12,2250_100,1420_1","2210,2250*,1420",3,1,2,1,104.330000001144356,835421,2250_100,2210_12,3,14200_1,,,,104.412,Charcones de Punta Entinas,IHA611001
131869,"14200_100,1150_100","1150_100,1420_100","1150*,1420",2,1,1,0,60.394999999187419,839418,14200_100,1150_100,2,,,,,60.436,Salinas de Cabo de Gata,IHA611009
136477,"1150_100,14200_100","1420_100,1150_100","1420,1150*",2,1,1,0,141.395000002842863,839619,1150_100,14200_100,2,,,,,141.507,Charcones de Punta Entinas,IHA611001
136578,"1150_100,14200_50","1420_50,1150_100","1420,1150*",2,1,1,0,253.980000003379530,839633,1150_100,14200_50,2,,,,,254.179,Salinas de Cerrillos,IHA611004
122758,"92D00_100,14101_100,1430_44,15101_25,14201_5","1430_44,1510_25,1410_100,92D0_100,1420_5","1430,1510*,1410,92D0,1420",5,1,4,0,173.435000001066356,840763,92D00_100,14101_100,5,1430_44,15101_25,14201_5,,173.568,Saladar del Margen,IHA614009
530571,"62201_72,1520_12,13101_5","1310_5,6220_72,1520_12","1310,6220*,1520*",3,2,1,0,116.910000000885915,866742,62201_72,1520_12,3,13101_5,,,,62.002,Saladar del Margen,IHA614009
173131,"22600_25,14200_1","2260_25,1420_1","2260,1420",2,0,2,1,2203.999999990000106,115604,22600_25,14200_1,2,,,,,2205.716,Salinas de Cerrillos,IHA611004
152022,14200_50,1420_50,"1420",1,0,1,0,428.840000005854506,312362,14200_50,,1,,,,,429.177,Charcones de Punta Entinas,IHA611001
139923,13101_25,1310_25,"1310",1,0,1,0,54.274999999819563,169026,13101_25,,1,,,,,54.317,Saladar del Margen,IHA614009
2689,"3290_10,3250_10,14101_10","3290_10,1410_10,3250_10","3290,1410,3250",3,0,3,0,481375.554999999993015,24239,3290_10,3250_10,3,14101_10,,,,36413.190,Río Antas,IHA611017
136513,"1150_100,14200_50","1420_50,1150_100","1420,1150*",2,1,1,0,340.030000005079160,838983,1150_100,14200_50,2,,,,,340.296,Salinas de Cerrillos,IHA611004
168333,2210_12,2210_12,"2210",1,0,1,1,393.510000005193262,257077,2210_12,,1,,,,,393.819,Charcones de Punta Entinas,IHA611001
19154,"62201_72,62200_25",6220_97,6220*,1,1,0,0,265.279999996144284,781804,62201_72,62200_25,2,,,,,265.488,Cañada de las Norias,IHA611005
68178,"62201_100,53302_25","6220_100,5330_25","6220*,5330",2,1,1,0,1257.124999990000106,762661,62201_100,53302_25,2,,,,,1257.790,Río Antas,IHA611017
26733,"1520_38,13101_10","1520_38,1310_10","1520*,1310",2,1,1,0,194.350000002636818,863901,1520_38,13101_10,2,,,,,194.499,Saladar del Margen,IHA614009
507364,62201_72,6220_72,6220*,1,1,0,0,709.129999999153711,583155,62201_72,,1,,,,,709.616,Salinas de Cabo de Gata,IHA611009
517368,"62201_72,40901_12","6220_72,4090_12","6220*,4090",2,1,1,0,293.730000000789289,469775,62201_72,40901_12,2,,,,,293.963,Cola del Embalse del Negratín,IHA614010
774906,"92D00_0,1430_0","92D0_0,1430_0","92D0,1430",2,0,2,0,101.994999999752025,209563,92D00_0,1430_0,2,,,,,102.050,Río Antas,IHA611017
153465,14200_75,1420_75,"1420",1,0,1,0,570.625000004487788,26283,14200_75,,1,,,,,535.944,Salinas de Cerrillos,IHA611004
168467,2210_88,2210_88,"2210",1,0,1,1,1904.835000000000036,294219,2210_88,,1,,,,,1906.313,Salinas de Cerrillos,IHA611004
37409,"1430_40,92D00_30","1430_40,92D0_30","1430,92D0",2,0,2,0,507.270000002435381,15097,1430_40,92D00_30,2,,,,,507.541,Río Antas,IHA611017
160313,1520_12,1520_12,1520*,1,1,0,0,123.589999998511630,825965,1520_12,,1,,,,,123.688,Cola del Embalse del Negratín,IHA614010
150376,14200_25,1420_25,"1420",1,0,1,0,746.969999996847491,349515,14200_25,,1,,,,,747.555,Salinas de Cerrillos,IHA611004
2348,22600_25,2260_25,"2260",1,0,1,1,6686.009999990000324,9721,22600_25,,1,,,,,6691.154,Ribera de la Algaida,IHA611010
145684,14200_100,1420_100,"1420",1,0,1,0,856.004999998967378,249219,14200_100,,1,,,,,856.676,Charcones de Punta Entinas,IHA611001
141176,"14100_0,62201_0,15100_0,14200_0","1510_0,1420_0,1410_0,6220_0","1510*,1420,1410,6220*",4,2,2,0,1703.535000000000082,847579,14100_0,62201_0,4,15100_0,14200_0,,,1704.442,Río Antas,IHA611017
775981,92D00_100,92D0_100,"92D0",1,0,1,0,2142.270000009999876,222477,92D00_100,,1,,,,,2143.967,Cola del Embalse del Negratín,IHA614010
