id,hic_lab_or,hic_tp_pct,hic_tp_cat,hic_tp_num,hic_p_tn,hic_np_tn,hic_pp_tn,area_ha,id_pk,HIC_1,HIC_2,hic_num_t,HIC_3,HIC_4,HIC_5,HIC_6,area_m2
531128,"62201_72,1520_12","6220_72,1520_12","6220*,1520*",2,2,0,0,23190.060000000001310,871615,62201_72,1520_12,2,,,,,21742.788
532255,"62201_72,1520_38","6220_72,1520_38","6220*,1520*",2,2,0,0,5582.895000010000331,871628,62201_72,1520_38,2,,,,,5587.158
532242,"62201_72,1520_38","1520_38,6220_72","1520*,6220*",2,2,0,0,16187.165000000000873,871660,62201_72,1520_38,2,,,,,12542.912
531223,"62201_72,1520_12","1520_12,6220_72","1520*,6220*",2,2,0,0,33755.754999999997381,871714,62201_72,1520_12,2,,,,,33781.790
405610,"62201_100,52200_25,1520_12","6220_100,5220_25,1520_12","6220*,5220*,1520*",3,3,0,0,9885.379999999999200,871971,62201_100,52200_25,3,1520_12,,,,9890.664
78913,"62201_27,52200_25,1520_12","5220_25,6220_27,1520_12","5220*,6220*,1520*",3,3,0,0,1107.225000010000031,872000,62201_27,52200_25,3,1520_12,,,,1107.816
532882,"62201_72,1520_38,15101_25","6220_72,1520_38,1510_25","6220*,1520*,1510*",3,3,0,0,63985.055000000007567,872136,62201_72,1520_38,3,15101_25,,,,64034.174
85710,"62201_72,15101_25,1520_12","1510_25,6220_72,1520_12","1510*,6220*,1520*",3,3,0,0,738283.869999999995343,873794,62201_72,15101_25,3,1520_12,,,,41572.717
530218,"62201_72,15101_25,1520_12","1520_12,6220_72,1510_25","1520*,6220*,1510*",3,3,0,0,162136.415000000008149,872382,62201_72,15101_25,3,1520_12,,,,84869.786
405641,"62201_100,52200_25,53305_12,1520_12","1520_12,5220_25,5330_12,6220_100","1520*,5220*,5330,6220*",4,3,1,0,989.300000004214326,872409,62201_100,52200_25,4,53305_12,1520_12,,,896.673
405603,"62201_100,52200_25,53305_12,1520_12","1520_12,6220_100,5220_25,5330_12","1520*,6220*,5220*,5330",4,3,1,0,5290.350000010000258,872571,62201_100,52200_25,4,53305_12,1520_12,,,1202.212
405609,"62201_100,52200_25,1520_12","6220_100,1520_12,5220_25","6220*,1520*,5220*",3,3,0,0,11290.629999999999200,873005,62201_100,52200_25,3,1520_12,,,,11296.626
86299,"62201_72,1520_38,15101_25","6220_72,1510_25,1520_38","6220*,1510*,1520*",3,3,0,0,706588.089999999967404,873760,62201_72,1520_38,3,15101_25,,,,42280.113
405642,"62201_100,52200_25,53305_12,1520_12","6220_100,1520_12,5220_25,5330_12","6220*,1520*,5220*,5330",4,3,1,0,700.334999982154727,873337,62201_100,52200_25,4,53305_12,1520_12,,,700.707
403586,"62201_100,52200_25,53305_12,1520_12","6220_100,5220_25,1520_12,5330_12","6220*,5220*,1520*,5330",4,3,1,0,4052.454999990000033,873541,62201_100,52200_25,4,53305_12,1520_12,,,4054.614
530059,"62201_72,15101_25,1430_15,1520_12","1430_15,6220_72,1520_12,1510_25","1430,6220*,1520*,1510*",4,3,1,0,122.749999999796273,873660,62201_72,15101_25,4,1430_15,1520_12,,,122.844
141665,"14101_100,62201_72,1520_38,15101_25","1410_100,1520_38,1510_25,6220_72","1410,1520*,1510*,6220*",4,3,1,0,486.295000000799689,873675,14101_100,62201_72,4,1520_38,15101_25,,,486.667
530174,"62201_72,15101_25,1520_12","1520_12,1510_25,6220_72","1520*,1510*,6220*",3,3,0,0,47215.995000000002619,873696,62201_72,15101_25,3,1520_12,,,,46561.554
86301,"62201_72,1520_38,15101_25","6220_72,1510_25,1520_38","6220*,1510*,1520*",3,3,0,0,22611.965000000000146,873719,62201_72,1520_38,3,15101_25,,,,22629.324
141679,"14101_100,62201_72,15101_25,1520_12","6220_72,1510_25,1410_100,1520_12","6220*,1510*,1410,1520*",4,3,1,0,312.465000000639179,873726,14101_100,62201_72,4,15101_25,1520_12,,,312.704
532949,"62201_72,1520_38,15101_25","6220_72,1510_25,1520_38","6220*,1510*,1520*",3,3,0,0,10235.825000000000728,873765,62201_72,1520_38,3,15101_25,,,,4728.937
532890,"62201_72,1520_38,15101_25","6220_72,1520_38,1510_25","6220*,1520*,1510*",3,3,0,0,26682.650000000001455,873739,62201_72,1520_38,3,15101_25,,,,26703.122
532967,"62201_72,1520_38,15101_25,1430_15","1510_25,1520_38,1430_15,6220_72","1510*,1520*,1430,6220*",4,3,1,0,96.325000002374878,873747,62201_72,1520_38,4,15101_25,1430_15,,,96.399
530093,"62201_72,15101_25,1430_15,1520_12","1520_12,1510_25,1430_15,6220_72","1520*,1510*,1430,6220*",4,3,1,0,56.049999999150174,873785,62201_72,15101_25,4,1430_15,1520_12,,,56.093
86289,"62201_72,1520_38,15101_25","6220_72,1520_38,1510_25","6220*,1520*,1510*",3,3,0,0,567.129999996639071,873796,62201_72,1520_38,3,15101_25,,,,567.567
